	Air	Blood	Brain	Breast	Bone	CdTe	GaAs	Glass (Pyrex)	Muscle	Polyethylene Terephthalate	Polymethyl Methacrylate	Polytetrafluoroethylene	Polyvinyl Chloride	Soft Tissue	Water	Adipose Tissue	PLA
										Mylar	PMMA	Teflon	PVC				
116.6	1.78855562724575E-4	0.170309817568092	0.174188120660656	0.163798219110418	0.315319926813141	6.98750781588827	2.03760104459439	0.339391089328782	0.180780588433211	0.207693958524386	0.183608721736568	0.318028707245849	0.2355187866597	0.17022323019184	0.162003141678048	0.153055406224644	0.154069779563403
116.7	1.78804014632506E-4	0.170261088977966	0.174138677091039	0.163753847183216	0.315160382552674	6.97228166247697	2.03365941933551	0.339250468803563	0.180771842032273	0.207638887050739	0.183563023340685	0.317930369656663	0.235386596568252	0.17017496606697	0.161957479037822	0.153015842987738	0.154028555753263
116.8	1.7875254079556E-4	0.170212429835961	0.174089303076902	0.163709531735479	0.315001293777209	6.95710441213371	2.02973063600115	0.339110169627161	0.180763125607884	0.207583890487084	0.183517397875095	0.317832192415423	0.235254767662154	0.170126769689269	0.161911879409585	0.152976324883511	0.153987370279851
116.9	1.78701141044922E-4	0.170163839985203	0.17403999846241	0.163665272648271	0.314842658798953	6.94197586653388	2.02581464182004	0.338970190793521	0.180754439031773	0.207528968669575	0.183471845161554	0.317734175127508	0.235123298648061	0.170078640907172	0.161866342653846	0.15293685182301	0.153946223107514
117	1.78649815212305E-4	0.170115319269305	0.173990763092205	0.163621069803009	0.3146844759378	6.92689582832364	2.02191138428258	0.338830531300585	0.180745782176327	0.207474121434857	0.183426365022406	0.317636317399595	0.234992188238351	0.17003057956958	0.161820868631537	0.152897423717528	0.153905114200635
117.1	1.78598563129942E-4	0.170066867532362	0.173941596811409	0.163576923081456	0.314526743521288	6.91186410111428	2.01802081113935	0.338691190150273	0.180737154914587	0.207419348620069	0.183380957280576	0.317538618839652	0.234861435151099	0.169982585525857	0.161775457204015	0.152858040478609	0.153864043523627
117.2	1.78547384630588E-4	0.170018484618952	0.173892499465619	0.163532832365724	0.314369459884557	6.89688048947675	2.01414287039957	0.338552166348464	0.180728557120243	0.20736465006284	0.183335621759574	0.317441079056938	0.234731038110044	0.169934658625829	0.161730108233058	0.152818702018046	0.153823011040938
117.3	1.78496279547516E-4	0.169970170374132	0.173843470900905	0.163488797538271	0.314212623370312	6.88194479893611	2.01027751032962	0.338413458904975	0.180719988667631	0.207310025601289	0.183290358283486	0.317343697661993	0.234600995844561	0.169886798719783	0.161684821580864	0.152779408247877	0.153782016717049
117.4	1.78445247714514E-4	0.169921924643436	0.173794510963807	0.163444818481897	0.314056232328777	6.86705683596614	2.00642467945157	0.338275066833546	0.180711449431733	0.207255475074019	0.183245166676979	0.317246474266634	0.23447130708963	0.169839005658464	0.161639597110051	0.152740159080386	0.153741060516474
117.5	1.78394288965887E-4	0.169873747272875	0.173745619501339	0.163400895079749	0.313900285117661	6.8522164079839	2.00258432654165	0.338136989151819	0.180702939288164	0.20720099832012	0.183200046765292	0.31714940848395	0.234341970585809	0.169791279293074	0.161594434683654	0.152700954428103	0.153700142403758
117.6	1.7834340313645E-4	0.169825638108932	0.17369679636098	0.163357027215313	0.31374478010211	6.83742332334433	1.99875640062881	0.337999224881319	0.180694458113179	0.207146595179165	0.183154998374235	0.317052499928298	0.2342129850792	0.169743619475269	0.161549334165123	0.152661794203801	0.153659262343482
117.7	1.78292590061528E-4	0.169777596998565	0.173648041390676	0.163313214772417	0.313589715654674	6.82267739133493	1.99494085099327	0.337861773047437	0.18068600578366	0.207092265491207	0.183110021330192	0.316955748215295	0.234084349321426	0.169696026057157	0.161504295418321	0.152622678320499	0.153618420300258
117.8	1.78241849576956E-4	0.169729623789201	0.173599354438839	0.163269457635229	0.313435090155262	6.80797842217044	1.99113762716504	0.337724632679408	0.180677582177119	0.207038009096779	0.18306511546011	0.316859152961815	0.233956062069597	0.1696484988913	0.161459318307525	0.152583606691456	0.153577616238731
117.9	1.78191181519075E-4	0.169681718328733	0.17355073535434	0.163225755688253	0.313280901991107	6.79332622698756	1.98734667892253	0.337587802810297	0.18066918717169	0.206983825836891	0.183020280591504	0.316762713785984	0.233828122086284	0.169601037830708	0.161414402697421	0.152544579230173	0.15353685012358
118	1.78140585724729E-4	0.169633880465525	0.173502183986515	0.163182108816332	0.313127149556723	6.77872061783971	1.98356795629104	0.337451282476978	0.180660820646126	0.20692971555303	0.182975516552451	0.316666430307174	0.23370052813949	0.169553642728839	0.161369548453107	0.152505595850392	0.153496121919517
