Energy	Ytterbium	Lutetium	Hafnium	Tantalum	Tungsten	Rhenium	Osmium	Iridium	Platinum	Gold	Mercury	Thallium	Lead	Bismuth	Polonium	Astatine	Radon	Francium	Radium	Actinium	Thorium	Protactinium	Uranium
107.4	22.5281898884757	33.0448068552831	45.1176444290869	59.4677910810885	71.0908519915127	80.0759923588274	88.3519573356653	91.3202331315496	4157.47230949002	83.3584041135989	59.7826249557407	53.4488530781435	52.7251729662535	47.018932786472	47.1511298181979	32.8267571980896	0.0496552447549286	12.3796378743315	29.5455858093119	55.78225555071	17.9817838401082	24.88137	31.0573285335791
107.5	22.4742068928423	32.9659276230453	45.0101995575694	59.3265395409881	70.9222580724537	79.8862550383876	88.1423794221592	91.1032349780794	4147.66600432647	83.161334260015	59.6416926896543	53.3229448128955	52.6011997800718	46.9088934538768	47.0419217557219	32.7504381963729	0.0495394495345042	12.3696589734116	29.4778843287105	55.6548786335016	17.9413605805433	24.82535	30.9876641612841
107.6	22.4204053341519	32.8873125419523	44.9031140180898	59.1857596371995	70.7542263996488	79.6971498065183	87.9334976266574	90.8869568685144	4137.89217367055	82.9649184811204	59.5012273311062	53.1974536196228	52.4776361430961	46.7992147499462	46.9330597479788	32.6743666594604	0.0494240306931905	12.3596795433362	29.4103982006544	55.5279054108021	17.90107246261	24.76951	30.9182325012357
107.7	22.3667844420336	32.8089604906922	44.7963862847802	59.0454493667088	70.5867545871097	79.5086739844217	87.725309023601	90.6713957998714	4128.15068097826	82.7691540202214	59.3612269121607	53.0723777411549	52.3544803351433	46.6898951763996	46.8245424423621	32.598541574554	0.0493089866880921	12.3496996185757	29.3431265642059	55.40133427514	17.8609189098662	24.71387	30.8490325615675
107.8	22.3133434500567	32.7308703537047	44.6900148396138	58.9056067368122	70.4198402611242	79.3208249070594	87.5178107022527	90.4565487841636	4118.4413903999	82.574038134678	59.2216894749323	52.9477154292891	52.2317306447775	46.5809332424681	46.7163684924441	32.5229619338327	0.049194315983902	12.3397192335435	29.2760685625355	55.2751636266799	17.820899348859	24.6584	30.7800633555522
107.9	22.2600815957069	32.6530410211463	44.5839981723575	58.7662297650535	70.2534810601823	79.1335999230702	87.3109997666094	90.2424128483134	4108.76416677595	82.3795680958196	59.0826130715255	52.8234649447368	52.1093853692576	46.4723274648496	46.6085365579447	32.447626734423	0.0490800170528583	12.3297384225953	29.2092233428995	55.1493918731797	17.7810132091059	24.60312	30.7113239015703
108	22.2069981203636	32.5754713888559	44.4783347805252	58.627316479163	70.0876746349022	78.9469963946875	87.104873335315	90.0289850340663	4099.1188756329	82.1857411888621	58.9439957639748	52.6996245570703	51.9874428144854	46.3640763676662	46.5010453046995	32.3725349783718	0.0489660883747013	12.3197572200291	29.1425900566176	55.0240174299502	17.7412599230774	24.54803	30.6428132230789
108.1	22.1540922692758	32.4981603583214	44.373023169331	58.4888649169952	69.9224186479578	78.7610116976572	86.899428541574	89.8162623979057	4089.50538317927	81.9925547128248	58.8058356241857	52.5761925446697	51.865901294955	46.25617848242	46.3938934046286	32.2976856726176	0.0488525284366311	12.3097756600844	29.0761678590505	54.8990387198132	17.7016389261784	24.49312	30.5745303485807
108.2	22.1013632915399	32.4211068366451	44.2680618516432	58.3508731264685	69.7577107740055	78.575643221157	86.6946625330659	89.6042420109676	4079.92355630149	81.8000059804485	58.6681307338753	52.4531671946704	51.7447591337008	46.1486323479503	46.2870795357059	32.2230778289633	0.0487393357332647	12.2997937769426	29.009955909578	54.7744541730606	17.6621496567305	24.43839	30.5064743115933
108.3	22.0488104400764	32.3443097365105	44.1634493479383	58.2133391655044	69.5935486996124	78.3908883677154	86.4905724718597	89.3929209589561	4070.37326255988	81.6080923181139	58.5308791845141	52.3305468029112	51.6240146622473	46.041436510391	46.1806023819276	32.148710464048	0.0486265087665939	12.2898116047261	28.9439533715766	54.650262227414	17.6227915559547	24.38384	30.4386441506192
108.4	21.9964329716073	32.2677679761493	44.0591841862554	58.0762611019671	69.4299301231848	78.2067445531319	86.2871555343292	89.1822963420595	4060.85437018472	81.4168110657605	58.3940790772675	52.2083296738819	51.5036662205588	45.9345895231278	46.0744606332819	32.0745825993199	0.0485140460459437	12.2798291774981	28.8781594123978	54.5264613279839	17.5835640679531	24.32948	30.3710389091148
108.5	21.9442301466335	32.1914804793075	43.9552649021509	57.9396370136044	69.2668527548967	78.023209206397	86.0844089110691	88.9723652748672	4051.36674807222	81.226159576806	58.2577285229386	52.0865141206723	51.3837121569892	45.8280899467564	45.9686529857181	32.000693261009	0.0484019460879303	12.2698465292626	28.8125732033466	54.4030499272299	17.544466639692	24.27529	30.3036576354611
108.6	21.8922012294125	32.1154461752133	43.8516900386534	57.8034649879876	69.1043143166196	77.8402797696137	85.8823298068113	88.7631248862863	4041.91026578062	81.0361352180665	58.1218256419103	51.9650984649209	51.2641508282324	45.7219363490399	45.8631781411163	31.9270414800998	0.0482902074164202	12.2598636939639	28.7471939196594	54.2800264849203	17.5054987209841	24.22128	30.2364993829333
108.7	21.8403454879359	32.0396639985438	43.7484581462194	57.6677431224533	68.9423125418521	77.6579536979186	85.6809154403417	88.55457231946	4032.48479352624	80.846735369677	57.9863685640886	51.844081036764	51.1449805992728	45.616127304868	45.758034807257	31.8536262923044	0.0481788285624886	12.2498807054862	28.6820207404829	54.1573894680926	17.4666597644716	24.16745	30.1695632096713
108.8	21.7886621939077	31.964132889393	43.6455677826883	57.5324695240443	68.7808451756502	77.4762284594044	85.4801630444181	88.3467047316852	4023.09020217964	80.6579574250126	57.8513554288458	51.7234601747854	51.0261998433367	45.5106613962146	45.6532216977914	31.780446738036	0.0480678080643789	12.2398975976535	28.6170528488524	54.035137351014	17.4279492256088	24.1138	30.1028481786507
108.9	21.7371506227218	31.8888517932394	43.5430175132392	57.397642309452	68.6199099745586	77.2951015350421	85.2800698656884	88.1395192943318	4013.72636326172	80.4697987906101	57.7167843849649	51.6032342259661	50.9078069418433	45.4055372120976	45.548737532211	31.707501862382	0.047957144467462	12.2299144042293	28.5522894316711	53.9132686151422	17.3893665626452	24.06033	30.0363533576531
109	21.6858100534408	31.8138196609139	43.4408059103462	57.2632596049584	68.4595047065412	77.1145704186043	85.0806331646086	87.9330131927616	4004.39314893992	80.2822568860903	57.5826535905828	51.483401545635	50.7898002843564	45.3007533485377	45.4445810358182	31.6347907150775	0.0478468363241962	12.2199311589161	28.4877296796885	53.7917817490861	17.3509112366088	24.00703	29.970077819237
109.1	21.6346397687736	31.7390354485682	43.3389315537357	57.1293195463788	68.2996271509137	76.9346326165891	84.8818502153626	87.7271836262485	3995.09043202437	80.0953291440806	57.4489612131358	51.3639604974189	50.6721782685364	45.1963084085175	45.3407509396965	31.5623123504795	0.0477368821940866	12.2099478953553	28.4233727874795	53.6706752485675	17.3125827112891	23.95391	29.9040206407097
109.2	21.5836390550548	31.6644981176433	43.2373930303428	56.9958202790051	68.1402750982753	76.7552856481438	84.6837183057818	87.5220278078982	3985.81808596415	79.9090130101382	57.315705429304	51.2449094531937	50.5549393000928	45.0922010019419	45.2372459806809	31.4900658275404	0.0476272806436461	12.199964647127	28.359217953424	53.5499476163823	17.2743804532203	23.90096	29.838180904098
109.3	21.5328072022224	31.5902066348378	43.1361889342686	56.8627599575487	67.9814463504414	76.5765270449902	84.4862347372653	87.3175429645699	3976.57598484353	79.7233059426741	57.1828844249569	51.1262467930358	50.4380817927363	44.9884297455975	45.1340649013293	31.4180502097823	0.0475180302463552	12.1899814477495	28.2952643796855	53.4295973623621	17.2363039316653	23.84819	29.7725576961199
109.4	21.4821435037973	31.516159972077	43.0353178667376	56.7301367460854	67.8231387203773	76.3983543513492	84.2893968247007	87.113726336797	3967.36400337819	79.5382054128771	57.0504963950988	51.0079709051734	50.3216041681325	44.8849932631129	45.0312064498925	31.3462645652709	0.0474091295826231	12.1799983306791	28.2315112721912	53.3096230033364	17.1983526185987	23.79559	29.7071501081566
109.5	21.4316472568618	31.442357106482	42.9347784360552	56.5979488179985	67.6653500321311	76.220765123867	84.0932018963854	86.9105751787094	3958.18201691157	79.3537089046389	56.9185395438151	50.8900801859383	50.2055048558547	44.7818901849194	44.9286693802858	31.2747079665906	0.0473005772397483	12.1700153293097	28.1679578406111	53.1900230630947	17.1605259886909	23.74316	29.6419572362245
109.6	21.3813177620388	31.3687970203387	42.8345692575661	56.4661943559241	67.5080781207684	76.0437569315411	83.8976472939486	86.7080867579555	3949.02990141117	79.169813914479	56.7870120842186	50.7725730397186	50.0897822933374	44.6791191482117	44.8264524520602	31.2033794908181	0.0471923718118802	12.160032476973	28.1046032983379	53.0707960723485	17.1228235192916	23.69091	29.5769781809472
109.7	21.3311543234708	31.2954787010678	42.7346889536123	56.334871551696	67.3513208323062	75.8673273556472	83.7027303722735	86.5062583556253	3939.90753346488	78.9865179514708	56.6559122383964	50.6554478789109	49.9744349258304	44.5766787969088	44.7245544303736	31.1322782194983	0.0470845118999804	12.1500498069376	28.0414468624666	52.9519405686945	17.085244690414	23.63882	29.5122120475278
109.8	21.2811562487997	31.2224011411938	42.6351361534917	56.203978606291	67.1950760236485	75.6914739896662	83.5084484994204	86.305087266174	3930.81479027736	78.8038185371676	56.525238237357	50.5387031238733	49.859461206353	44.4745677816153	44.6229740859622	31.0614032386179	0.0469769961117842	12.1400673524091	27.9784877537744	52.8334550965772	62.2217927142663	23.58691	29.4476579457217
109.9	21.2313228491457	31.1495633383157	42.535909493417	56.0735137297746	67.0393415625212	75.5161944392123	83.3147990565496	86.1045707973454	3921.75154966643	78.6217132055299	56.3949883209774	50.4223372028784	49.7448595956486	44.3727847595828	44.5217101951127	30.9907536385817	0.0468698230617631	12.1300851465297	27.9157251967012	52.7153382072518	62.0830566933121	23.53516	29.3833149898091
110	21.1816534390873	31.0769642950762	42.4370076164747	55.9434751412472	66.8841153274084	75.3414863219605	83.1217794378461	85.9047062700964	3912.71769005947	78.4401995028521	56.2651607379518	50.3063485520669	49.6306285621391	44.2713283946721	44.4207615396333	30.9203285141869	0.046762991371086	12.1201032223781	27.8531584193289	52.5975884587478	61.9447511646285	23.48359	29.3191822985683
110.1	21.132147336641	31.0046030191329	42.3384291725846	55.8138610687906	66.7293952074883	75.1673472675764	82.9293870504432	85.7054910185221	3903.71309048991	78.2592749876907	56.1357537457389	50.1907356154016	49.5167665818804	44.1701973573146	44.3201269068267	30.8501269645988	0.0466564996675829	12.110121612969	27.7907866533627	52.4802044158322	61.8068744465134	23.43218	29.2552589952483
110.2	21.0828038632409	30.9324785231281	42.2401728184598	55.6846697494147	66.57517910257	74.9937749176443	82.7376193143479	85.506922389781	3894.73763059362	78.0789372307921	56.0067656105111	50.0754968446214	49.4032721385177	44.0693903244752	44.2198050894612	30.7801480933265	0.0465503465857065	12.1001403512529	27.7286091341106	52.3631846499736	61.6694248651183	23.38094	29.1915442075425
110.3	21.0336223437191	30.8605898246597	42.1422372175658	55.5558994290049	66.421464923031	74.8207669255977	82.5464736623661	85.3089977440206	3885.79119060545	77.8991838150217	55.878194607103	49.9606306991956	49.2901437232412	43.9689059796142	44.1197948857439	30.7103910081983	0.0464445307664956	12.0901594701161	27.6666251004645	52.2465277393058	61.5324007544066	23.32987	29.128037067562
110.4	20.9846021062857	30.7889359462524	42.0446210400815	55.4275483622696	66.2682505897541	74.6483209566488	82.3559475400288	85.111714454304	3876.87365135575	77.7200123352933	55.750039018961	49.8461356462787	49.1773798347422	43.8687430126505	44.0200950992925	30.6408548213377	0.0463390508575383	12.0801790023798	27.6048337948805	52.1302322685921	61.3958004561114	23.27896	29.0647367118096
110.5	20.9357424825089	30.7175159153285	41.9473229628596	55.299614812688	66.1155340340662	74.4764346877195	82.1660384055179	84.9150699065364	3867.98489426683	77.541420398498	55.6222971380924	49.7320101606657	49.0649789791693	43.7689001199244	43.9207045391083	30.5715386491393	0.0462339055129351	12.0701989808008	27.5432344633598	52.0142968291899	61.2596223196934	23.22822	29.001642281153
110.6	20.8870428072956	30.6463287641789	41.8503416693868	55.1720970524586	65.963313197676	74.3051058073727	81.9767437295936	84.7190614993927	3859.12480134962	77.3634056234352	55.4949672650158	49.618252724747	48.952939670085	43.6693760041612	43.8216220195486	30.5024416122449	0.0461290933932626	12.0602194380702	27.4818263554296	51.8987200190149	61.1238647022996	23.17765	28.9387529207995
110.7	20.8385024188719	30.5753735299354	41.7536758497455	55.0449933624476	65.8115860326133	74.134332015743	81.7880609955215	84.5236866442445	3850.29325520017	77.1859656407426	55.368047708711	49.5048618284644	48.8412604284224	43.570169374434	43.7228463603002	30.4335628355201	0.0460246131655374	12.0502404068141	27.4206087241241	51.7835004425062	60.9885259687223	23.12723	28.8760677802698
110.8	20.790120658764	30.5046492545416	41.6573242005745	54.9183020321379	65.6603505011682	73.9641110244696	81.5999876990007	84.3289427650891	3841.49013899627	77.0090980928275	55.2415367865699	49.3918359692671	48.729939782443	43.471278946128	43.6243763863515	30.3649014480302	0.0459204635031801	12.0402619195926	27.3595808259653	51.6686367105913	60.8536044913574	23.07698	28.8135860133724
110.9	20.7418968717785	30.434154984725	41.5612854250311	54.7920213595785	65.5096045758303	73.7944405566285	81.4125213480915	84.1348272984776	3832.71533649412	76.8328006337987	55.1154328243471	49.2791736520673	48.6189762676934	43.3727034409043	43.5262109279667	30.2964565830174	0.0458166430859796	12.0302840089	27.2987419209447	51.5541274406512	60.719098650164	23.0269	28.7513067781785
111	20.6938304059837	30.363889771969	41.4655582327524	54.6661496513344	65.3593462392293	73.625318346665	81.225659463145	83.941337693444	3823.9687320249	76.6570709293978	54.9897341561114	49.1668733891977	48.5083684269634	43.2744415866642	43.4283488206583	30.2282273778769	0.0457131506000578	12.0203067071644	27.2380912725043	51.439971256486	60.5850068326242	22.97698	28.6892292369963
111.1	20.6459206126906	30.2938526724856	41.3701413398176	54.5406852224359	65.2095734840755	73.4567421403278	81.0393995767316	83.7484714114348	3815.25021049152	76.4819066569321	54.8644391241973	49.0549337003673	48.3981148102441	43.1764921175131	43.3307889051612	30.1602129741345	0.0456099847378339	12.0103300467473	27.1776281475179	51.3261667882804	60.451327433702	22.92721	28.6273525563462
111.2	20.5981668464339	30.2240427471871	41.2750334687104	54.4156263963296	65.0602843131001	73.2887096946022	80.8537392335711	83.5562259262392	3806.55965736525	76.3073055052072	54.7395460791566	48.9433531126194	48.288213974686	43.078853773726	43.233530027406	30.092412517423	0.0455071441979898	12.0003540599438	27.1173518162731	51.2127126725697	60.3180588558038	22.87761	28.5656759069357
111.3	20.5505684649536	30.1544590616589	41.1802333482811	54.2909715048288	64.911476738997	73.1212187776447	80.6686759904628	83.3645987239191	3797.89695868248	76.1332651744608	54.6150533797113	48.8321301602885	48.1786644845577	42.9815253017116	43.1365710384929	30.0248251574596	0.045404627685435	11.9903787789818	27.0572615524528	51.0996075522057	60.1851995087387	22.82817	28.5041984636348
111.4	20.5031248291761	30.0851006861328	41.0857397137102	54.1667188880645	64.7631487843643	72.9542671687176	80.4842074162163	83.1735873027404	3789.2620010414	75.9597833762961	54.4909593927053	48.7212633849578	48.0694649112046	42.8845054539781	43.0399107946655	29.9574500480235	0.0453024339112722	11.9804042360222	26.9973566331167	50.9868500763233	60.0527478096782	22.77889	28.4429194054511
111.5	20.4558353031962	30.0159666954592	40.9915513064706	54.0428668944367	64.6152984816462	72.7878526581242	80.300331091582	82.9831891731039	3780.65467159882	75.786857833616	54.367262493058	48.6107513354179	47.9606138330082	42.787792989098	42.9435481572851	29.8902863469328	0.0452005615927626	11.9704304631584	26.9376363386834	50.8744389003064	59.9207021831178	22.72977	28.3818379155058
111.6	20.4086992542582	29.9470561690809	40.8976668742915	53.9194138805661	64.4679238730757	72.6219730471442	80.1170446091834	82.7934018574772	3772.07485806691	75.6144862805579	54.2439610637168	48.500592567624	47.8521098353454	42.6913866716739	42.8474819928046	29.8233332160226	0.0450990094532923	11.9604574924164	26.8780999529125	50.7623726857551	59.7890610608371	22.6808	28.3209531810094
111.7	20.3617160527381	29.878368191006	40.8040851711218	53.7963582112461	64.3210230106173	72.4566261479702	79.9343455734486	82.6042228903272	3763.52244871001	75.4426664624289	54.1210534956113	48.3907856446555	47.7439515105481	42.5952852723042	42.7517111727432	29.7565898211225	0.0449977762223378	11.9504853557541	26.8187467628865	50.6506501004523	59.6578228818615	22.632	28.260264393237
111.8	20.3148850721253	29.8099018497815	40.7108049570937	53.6736982593952	64.17459395591	72.2918097836433	79.7522316005426	82.4156498180521	3754.99733234144	75.2713961356408	53.9985381876063	48.2813291366738	47.6361374578634	42.4994875675493	42.6562345736603	29.6900553320346	0.0448968606354324	11.9405140850613	26.7595760589931	50.539269818331	59.5269860924231	22.58334	28.1997707475052
111.9	20.2682056890049	29.7416562384672	40.617824998487	53.5514324060092	64.0286347802114	72.1275217879909	79.5707003183007	82.227680198915	3746.49939832035	75.1006730676469	53.8764135464566	48.1722216208822	47.5286662834132	42.4039923398976	42.5610510771308	29.6237289225112	0.0447962614341328	11.9305437121596	26.7005871349076	50.4282305194411	59.3965491459227	22.53485	28.1394714431479
112	20.2216772830394	29.673630454609	40.5251440676932	53.4295590401146	63.8831435643411	71.9637600055632	79.3897493661613	82.040311602977	3738.02853654861	74.9304950368775	53.7546779867608	48.0634616814846	47.4215366001554	42.3087983777322	42.4661595697197	29.5576097702337	0.0446959773659859	11.920574268802	26.6417792875749	50.3175308899173	59.2665105028913	22.48651	28.0793656834927
112.1	20.1752992369516	29.6058236002137	40.4327609431802	53.3080765587217	63.7381183986257	71.8005222915714	79.2093763950998	81.8535416120313	3729.58463746764	74.760859832677	53.6333299309165	47.9550479096454	47.3147470278439	42.2139044752971	42.3715589429565	29.4916970567898	0.0445960071844951	11.9106057866728	26.5831518171929	50.2071696219467	59.1368686309523	22.43833	28.0194526758374
112.2	20.1290709365063	29.5382347817226	40.3406744094568	53.1869833667781	63.5935573828426	71.6378065118258	79.029579067563	81.6673678195374	3721.16759205534	74.5917652552415	53.5123678090749	47.8469789034492	47.2082961929904	42.1193094326648	42.2772480933109	29.4259899676532	0.0444963496490883	11.900638297387	26.5247040271941	50.0971454137363	59.0076220047839	22.3903	27.9597316314271
112.3	20.0829917704933	29.4708631099859	40.2488832570377	53.0662778771225	63.449458626166	71.4756105426738	78.8503550574032	81.4817878305557	3712.77729182303	74.4232091155557	53.3917900590962	47.7392532678614	47.1021827288245	42.0250120557027	42.1832259221675	29.3604876921609	0.0443970035250843	11.8906718324908	26.466435224229	49.9874569694816	58.8787691060813	22.34242	27.9002017654305
112.4	20.0370611307097	29.4037077002378	40.1573862824092	52.9459585104392	63.3058202471118	71.3139322709395	78.6717020498138	81.2967992616831	3704.41362881236	74.2551892353315	53.2715951265055	47.6318696146878	46.9964052752563	41.9310111560408	42.0894913358014	29.295189423493	0.0442979675836609	11.8807064234606	26.4083447181488	49.8781029993342	58.7503084235198	22.2947	27.8408622969175
112.5	19.9912784119429	29.3367676720704	40.066182287994	52.826023695212	63.1626403734837	71.1527695938626	78.4936177412641	81.1123997409878	3696.07649559231	74.0877034469461	53.1517814644483	47.524826562536	46.8909624788374	41.837305551039	41.9960432453536	29.2300943586507	0.0441992406018225	11.8707421017035	26.3504318219883	49.7690822193706	58.6222384527173	22.24713	27.7817124488359
