Energy	Hydrogen	Helium	Lithium	Beryllium	Boron	Carbon	Nitrogen	Oxygen	Fluorine	Neon	Sodium	Magnesium	Aluminum	Silicon	Phosphorus	Sulfur	Chlorine	Argon	Potassium
7	2.97E-05	5.05E-05	0.348348681	3.056590714	8.62E+00	15.54275402	0.013212331	0.023184235	0.043053157	0.031187461	43.34665934	104.4418635	200.1438772	220.2476948	203.8321691	275.9279502	0.46814596	0.281341839	187.8969883
7.1	2.97E-05	4.96E-05	0.336452236	2.934342435	8.26E+00	14.89058918	0.012658569	0.022217925	0.041272615	0.02990947	41.58863581	100.2229447	192.1725638	211.5668299	195.8795515	265.2789426	0.45016747	0.27042933	180.8157955
7.2	2.97E-05	4.88E-05	0.325235185	2.818959384	7.92E+00	14.27492904	0.012135535	0.021304773	0.039589175	0.028700557	39.92476882	96.22624284	184.6202358	203.3381183	188.3374956	255.1746729	0.433090369	0.260073427	174.0894642
7.3	2.96E-05	4.80E-05	0.314650089	2.709968613	7.60E+00	13.69326976	0.011641137	0.020441186	0.037996324	0.027556126	38.34884038	92.4372676	177.4596642	195.5324017	181.1797321	245.5805456	0.416858207	0.250239498	167.6959265
7.4	2.96E-05	4.73E-05	0.304653407	2.606935612	7.30E+00	13.14330982	0.011173451	0.019623859	0.036488066	0.026471941	36.855118	88.8426489	170.6657154	188.12275	174.3819847	236.4645729	0.401418753	0.240895424	161.6147406
7.5	2.95E-05	4.66E-05	0.295205132	2.509460727	7.02E+00	12.62293136	0.010730704	0.018849747	0.035058874	0.025444094	35.43831112	85.43003732	164.2151657	181.0842655	167.9217954	227.7971481	0.386723624	0.232011392	155.8269528
7.6	2.95E-05	4.59E-05	0.286268461	2.417175946	6.74E+00	12.13018331	0.010311265	0.01811604	0.033703646	0.024468979	34.09353201	82.18801439	158.0865344	174.3939063	161.7783684	219.550842	0.37272796	0.223559708	150.3149733
7.7	2.95E-05	4.53E-05	0.277809497	2.329742019	6.49E+00	11.66326633	0.009913627	0.017420146	0.03241767	0.023543259	32.81626047	79.10601172	152.2599335	168.0303273	155.9324284	211.7002178	0.359390127	0.215514624	145.0624636
7.8	2.94E-05	4.47E-05	0.269796992	2.24684588	6.24E+00	11.22051929	0.009536397	0.016759667	0.031196588	0.022663851	31.60231208	76.1742381	146.7169316	161.9737362	150.3660923	204.2216651	0.346671449	0.20785219	140.054234
7.9	2.94E-05	4.41E-05	0.262202105	2.16819832	6.01E+00	10.80040706	0.009178289	0.016132387	0.030036368	0.021827898	30.44780953	73.38361364	141.4404311	156.2057637	145.0627539	197.093248	0.334535966	0.200550104	135.2761506
8	2.94E-05	4.36E-05	0.254998189	2.0935319	5.79E+00	10.40150957	0.008838112	0.015536253	0.028933272	0.021032749	29.34915667	70.7257102	136.4145575	150.7093451	140.0069782	190.294569	0.32295021	0.193587589	130.715051
8.1	2.94E-05	4.31E-05	0.248160605	2.022599068	5.58E+00	10.02251187	0.008514761	0.01496936	0.027883835	0.020275949	28.30301506	68.19269741	131.624558	145.4686143	135.184407	183.8066437	0.311883008	0.186945272	126.3586676
8.2	2.93E-05	4.26E-05	0.24166654	1.955170454	5.38E+00	9.662195211	0.008207215	0.014429945	0.02688484	0.019555215	27.30628271	65.77729383	127.0567105	140.4688063	130.5816716	177.6117886	0.301305301	0.180605077	122.195557
8.3	2.93E-05	4.22E-05	0.235494858	1.891033343	5.20E+00	9.319428978	0.007914523	0.013916366	0.025933299	0.018868425	26.35607481	63.47272252	122.698241	135.6961689	126.1863145	171.6935177	0.291189973	0.174550127	118.2150369
