Energy	Air, Dry (near sea level)	Blood, Whole (ICRU-44)	Brain, Grey/White Matter (ICRU-44)	Breast Tissue (ICRU-44)	Bone, Cortical (ICRU-44)	Cadmium Telluride	Gallium Arsenide	Glass, Borosilicate (Pyrex)	Muscle, Skeletal (ICRU-44)	Polyethylene Terephthalate, (Mylar)	Polymethyl Methacrylate, (PMMA)	Polytetrafluoroethylene, (Teflon)	Polyvinyl Chloride, (PVC) 	Tissue, Soft (ICRU-44)	Water, Liquid	Adipose Tissue (ICRU-44)	PLA, (XCOM)
52.7	2.42E-04	0.234968272	0.23922701	0.21817727	0.744559436	57.44544695	15.63096403	0.631374108	0.214375293	0.273564966	0.244345733	0.455924542	0.578358982	0.229885379	0.217610304	0.194837235	0.22378
52.8	2.42E-04	0.234762369	0.239010451	0.218015526	0.742317087	57.15404136	15.55020505	0.629904593	0.214165057	0.273387444	0.244146188	0.455360648	0.576390953	0.22966753	0.217411895	0.194714215	0.22356
52.9	2.42E-04	0.234558039	0.238795527	0.217854999	0.740088789	56.86464316	15.47002505	0.62844625	0.21395641	0.273211253	0.243947341	0.454801022	0.57443768	0.229451312	0.217214976	0.194592101	0.22334
53	2.42E-04	0.234355268	0.23858222	0.217695676	0.737874429	56.5772351	15.39041878	0.626998974	0.213749337	0.27303638	0.243749188	0.454245622	0.572499025	0.229236709	0.217019535	0.194470883	0.22312
53.1	2.41E-04	0.23415404	0.238370517	0.217537547	0.735673894	56.29180009	15.31138108	0.62556266	0.213543824	0.272862813	0.243551724	0.45369441	0.57057485	0.229023706	0.216825558	0.194350555	0.22291
53.2	2.41E-04	0.233954342	0.238160401	0.2173806	0.733487071	56.00832123	15.23290685	0.624137204	0.213339856	0.27269054	0.243354947	0.453147345	0.568665021	0.228812287	0.21663303	0.194231106	0.22269
53.3	2.41E-04	0.233756159	0.237951859	0.217224825	0.731313851	55.72678179	15.15499101	0.622722505	0.213137417	0.272519549	0.243158853	0.452604389	0.566769404	0.228602439	0.216441939	0.19411253	0.22247
53.4	2.41E-04	0.233559476	0.237744875	0.217070211	0.729154123	55.44716521	15.07762858	0.62131846	0.212936495	0.272349828	0.242963438	0.452065504	0.564887868	0.228394147	0.216252271	0.193994818	0.22226
53.5	2.41E-04	0.23336428	0.237539436	0.216916746	0.72700778	55.16945508	15.00081461	0.619924971	0.212737074	0.272181365	0.242768699	0.45153065	0.563020281	0.228187396	0.216064012	0.193877963	0.22204
53.6	2.40E-04	0.233170556	0.237335525	0.21676442	0.724874714	54.89363519	14.92454419	0.618541938	0.212539142	0.272014148	0.242574631	0.450999791	0.561166515	0.227982172	0.21587715	0.193761956	0.22183
53.7	2.40E-04	0.23297829	0.23713313	0.216613223	0.722754818	54.61968946	14.84881248	0.617169263	0.212342683	0.271848167	0.242381233	0.45047289	0.559326441	0.227778461	0.215691672	0.19364679	0.22162
53.8	2.40E-04	0.23278747	0.236932237	0.216463143	0.720647988	54.347602	14.77361471	0.615806851	0.212147684	0.271683409	0.242188499	0.449949909	0.557499934	0.227576249	0.215507565	0.193532457	0.22141
53.9	2.40E-04	0.23259808	0.236732831	0.216314172	0.718554119	54.07735707	14.69894612	0.614454604	0.211954132	0.271519863	0.241996426	0.449430812	0.555686869	0.227375522	0.215324816	0.19341895	0.2212
54	2.39E-04	0.232410109	0.236534898	0.216166298	0.716473107	53.80893909	14.62480202	0.613112429	0.211762014	0.271357518	0.241805012	0.448915564	0.553887121	0.227176267	0.215143412	0.193306262	0.22099
54.1	2.39E-04	0.232223543	0.236338426	0.216019511	0.714404851	53.54233263	14.55117779	0.611780233	0.211571315	0.271196363	0.241614251	0.448404129	0.552100569	0.22697847	0.214963342	0.193194384	0.22079
54.2	2.39E-04	0.232038368	0.2361434	0.215873802	0.71234925	53.27752243	14.47806883	0.610457922	0.211382024	0.271036388	0.241424143	0.447896471	0.550327092	0.226782117	0.214784593	0.193083309	0.22058
54.3	2.39E-04	0.231854572	0.235949808	0.21572916	0.710306203	53.01449336	14.4054706	0.609145406	0.211194126	0.270877581	0.241234681	0.447392556	0.548566571	0.226587197	0.214607154	0.192973031	0.22038
