Energy	Zirconium	Tin	Calcium	Scandium	Titanium	Vanadium	Chromium	Manganese	Iron	Cobalt	Nickel	Copper	Zinc	Gallium	Germanium	Arsenic	Selenium	Bromine	Krypton	Rubidium	Strontium	Yttrium	Niobium	Molybdenum	Technetium	Ruthenium	Rhodium	Palladium	Silver	Cadmium	Indium	Antimony	Tellurium	Iodine	Xenon	Cesium	Barium	Lanthanum	Cerium	Praseodymium	Neodymium	Promethium	Samarium	Europium	Gadolinium	Terbium	Dysprosium	Holmium	Erbium	Thulium
26.9	217.836070588819	72.6752684542156	8.75899351913622	18.5873319387166	31.189873434546	44.4027562715457	65.364835824036	72.716550081835	87.7433201235298	108.569108996465	124.866850394357	129.984195054763	116.507435761138	101.935558031641	99.4869172110958	39.9360028127825	103.517826646586	73.5778230217562	0.0935289925841802	41.3313975573408	76.5662901218259	139.918963743223	305.966698730944	386.129817066947	459.143299193385	509.731550245999	548.660548804479	546.153207993635	509.180256601124	432.795717479202	69.4268686420026	68.9719886676483	66.4436140107481	57.3030517095531	0.0696230999956385	24.0853495674315	46.4933327200581	87.1529542157936	100.86311969375	107.507120246958	116.487392052406	114.735882304317	137.36620157344	101.853072137066	155.50231855565	171.385050733325	185.86450319569	193.725641071777	207.991052664266	232.532069350116
27	215.680334333928	71.9932569502164	8.66422081706849	18.3966056016134	30.8656489827395	43.9455297133932	64.7076541093885	71.9666040285098	86.8385494720509	107.447214418956	123.579736611723	128.642805898296	115.312499300498	100.895116679333	98.4726441504748	39.5295015459354	102.468053589186	72.8375377821671	0.0925894856727282	40.9166573604315	75.8011659940353	138.528032237075	302.960795004273	382.36296909513	454.699553316269	504.838897448559	543.444322323346	541.008099362946	504.422275837492	428.767526260023	68.7701817156115	68.3009273393126	65.8012398216729	56.7585850321952	0.0689563921533593	23.8527241371582	46.0354692738133	86.3033655344718	99.879520249559	106.45910188615	115.348353047189	113.608006542633	136.015976331449	100.848162944056	153.972518828644	169.700303431044	184.041336976341	191.829898595991	205.958419058088	230.26414311967
27.1	213.553166471002	71.3205852185033	8.57077095643511	18.2085641746812	30.5459705648657	43.4947430878827	64.0595413714569	71.227158619084	85.946446977515	106.34090680952	122.31057783571	127.320522214252	114.134124178353	99.8690181564145	97.4723263528689	39.1285788156214	101.432620506975	72.1072959139745	0.0916626691427834	40.5074928565579	75.0462587696091	137.155556266942	299.994095891062	378.644810264248	450.312506999381	500.007893240042	538.2928233249	535.926072021516	499.722152012493	424.7883584608	68.1224790444713	67.63902214922	65.1676491684439	56.221597518673	0.0682988161441966	23.6232784150424	45.5838238837307	85.4653683786285	98.9093674927509	105.425412643555	114.224837218761	112.495420035365	134.684045835809	99.8569660492974	152.463526971842	168.038439823513	182.24280537403	189.959638992691	203.95305580189	228.026552025836
27.2	211.454098016265	70.6570917165558	8.47862070972164	18.0231602105572	30.2307581173107	43.0502826232624	63.4203396992406	70.498029372742	85.0667902511766	105.249914344575	121.059060366861	126.017006095904	112.972023134667	98.8570149096415	96.4857236982006	38.7331390104413	100.411282953478	71.3869271013492	0.0907483294272823	40.1038110715056	74.3013997579755	135.801233533691	297.065974385726	374.97457093631	445.981281159529	495.237599155344	533.205089045196	530.906203031923	495.079046295331	420.857498723728	67.4836053403948	66.9861151972053	64.5426903431313	55.6919595485269	0.0676502140764926	23.3969575200223	45.1382897737514	84.6387630393033	97.9524294609952	104.405805372604	113.116577539778	111.397860881922	133.370096907647	98.8792454116541	150.974986133702	166.399068014492	180.468488151151	188.114429208539	201.974500270311	225.818782660905
27.3	209.382669070412	70.0026182727773	8.38774734018281	17.8403472693577	29.9199332712374	42.6120369609945	62.7898944975028	69.7790356997332	84.1993615879006	104.173970890935	119.824877072467	124.731926745617	111.825914872212	97.8588644993949	95.5126010047414	38.3430884747116	99.4038014496725	70.6762644756353	0.0898462572333073	39.7055208654412	73.5664235513286	134.464767561181	294.175815169254	371.351495595729	441.705012393994	490.527093025616	528.180172859548	525.947584561283	490.492133429275	416.97424343551	66.8534085541103	66.3420518698155	63.9262147991088	55.1695442092848	0.0670104313506053	23.1737077134493	44.6987623811453	83.8233539569695	97.0084790148186	103.400038063181	112.023312519612	110.315072593363	132.073822833762	97.9147698842969	149.506546831026	164.78180418729	178.717973708272	186.29384506658	200.022299304631	223.640332102953
27.4	207.338428618148	69.3570100042206	8.29812858973633	17.660079893731	29.6134193107433	42.1798970961067	62.1680544053463	69.0700008057676	83.3439478513413	103.1128158671	118.607727226799	123.464960302181	110.695523912928	96.874329477114	94.5527279114392	37.9583354621969	98.4099413674112	69.975144534694	0.0889562474436228	39.3125328915046	72.8411679519059	133.145867568981	291.323014365177	367.774842560748	437.482852673389	485.875468671933	523.217143995977	521.049323623334	485.96060150364	413.137900524168	66.2317397962327	65.7066807602665	63.3180770740064	54.6542272303361	0.0663793165786637	22.9534763712844	44.2651393028366	83.0189496207507	96.0772937204441	102.407873716922	110.944786070221	109.246803961679	130.794923210612	96.963313096232	148.057866771427	163.186272410437	176.990858876825	184.497471053652	198.096008986431	221.490707665534
27.5	205.320934332615	68.7201152366111	8.20974266719783	17.4823135846145	29.3111411321975	41.7537563192276	61.5546712170781	68.3707515990879	82.500340362327	102.066194108403	117.407316355747	122.21578967288	109.580580458207	95.9031772660644	93.6058787634218	37.5787900910797	97.4294728159285	69.2834070643778	0.088078099020759	38.924759555443	72.1254739010502	131.844248348156	288.50697930104	364.243883701178	433.313969040774	481.281835604787	518.315087253563	516.210541824586	481.483651729235	409.347789259163	65.6184532604397	65.0798535906296	62.7181347148108	54.1458869186528	0.0657567215065618	22.7362119570685	43.8373202432191	82.2253624704355	95.1586557358804	101.429080225976	109.880747375731	108.192808932684	129.533103792614	96.0246533370985	146.628610680671	161.612104448665	175.286748717474	182.724900113617	196.195194417431	219.369426654186
27.6	203.329752384594	68.0917854265938	8.12256823684604	17.3070047776753	29.0130252047184	41.3335101602478	60.9495998052881	67.6811186001352	81.6683347903499	101.033855735883	116.223356085753	120.984104370154	108.480820252989	94.9451800453351	92.6718325005792	37.2043643001297	96.4621705313416	68.6008950620738	0.0872116149135699	38.5421149762576	71.4191854100065	130.559630140042	285.727128275254	360.757904162294	429.197543316936	476.745318729313	513.473102725606	511.430375114493	477.060498217263	405.603240054829	65.0134061487848	64.4614251361791	62.1262482050463	53.6444040962973	0.0651425009381164	22.5218639956421	43.4152069634131	81.4424088012026	94.2523517001639	100.463430255123	108.830950765617	107.152846482413	128.288076344605	95.0985734451388	145.218450134755	160.05893957908	173.605256323984	180.975733446217	194.319429505322	217.276016129565
27.7	201.36445725635	67.4718750861353	8.03658440730798	17.1341108204115	28.7189995317577	40.9190563335586	60.3526980460723	67.0009358537262	80.8477310480646	100.015556028781	115.055563996884	119.769600352708	107.395984453536	94.0001146369693	91.7503725491338	36.8349718060377	95.5078137690603	67.9274546622526	0.086356601966197	38.1645149478354	70.7221494924079	129.291738517916	282.982890329179	357.316202094758	425.132771811677	472.265058056145	508.690305527576	506.707973539615	472.690367761653	401.903594277048	64.4164585990802	63.8512531518311	61.5422808939702	53.1496620396628	0.0645365126613242	22.310383047591	42.99870323192	80.6699086709722	93.3581726256505	99.5107011271214	107.795155591368	106.12668049689	127.059558498344	94.1848606982419	143.82706339656	158.526424412324	171.94600263243	179.249580311404	192.468296755398	215.210012676986
27.8	199.424631559991	66.8602417090148	7.9517707207538	16.9635899498937	28.4289936137553	40.5102946848177	59.763826746335	66.3300408436644	80.0383331887014	99.0110553005287	113.903663479938	118.57197987094	106.325819498802	93.0677623961352	90.8412867161086	36.4705280618805	94.5661861990201	67.2629350639686	0.0855128708293677	37.7918769015398	70.0342160984079	128.040304271517	280.273705024359	353.918088390434	421.118865041025	467.840208417814	503.965825529762	502.042501001736	468.372499624786	398.248204053148	63.8274736142847	63.2491983006113	60.9660989277218	52.6615464203909	0.0639386173766527	22.1017206843954	42.5877147766311	79.9076858103029	92.4759137932674	98.570674711218	106.773126106525	105.114079655197	125.84727361293	93.2833067079664	142.454135256957	157.014212718602	170.308616235569	177.546057838957	190.641387067826	213.170962182186
27.9	197.509865860242	66.2567456993367	7.86810714239193	16.7954012711262	28.142938411831	40.1071271391941	59.182849573103	65.6682744097092	79.239949306305	98.0201187781411	112.767383597444	117.390951316552	105.27007698526	92.147909104244	89.9443670866079	36.1109502166819	93.6370758036552	66.6071884602515	0.0846802358739654	37.4241198697333	69.3552380504133	126.805063294315	277.599022224739	350.562886423965	417.155047450227	463.469939190586	499.298807094572	497.43313501989	464.106145326582	394.636432084989	63.2463169938348	62.655124084087	60.3975711823625	52.1799452479158	0.0633486786272996	21.8958294642608	42.1821492381486	79.155567534754	91.6053746506305	97.6431373146955	105.764631350001	104.114817315714	124.650950639005	92.3937073164505	141.099356880215	155.521965258417	168.692733202237	175.864790843246	188.83829954037	211.158419613115
